sim,year,species_code,sex,rss,sex_desc
3,2019,21740,0,5113.052179617351,total_pre
3,2019,21740,1,2894.9231659532716,male
3,2019,21740,2,5179.204566162016,female
3,2019,21740,4,5113.052110995153,total_post
4,2019,21740,0,8010.981032215572,total_pre
4,2019,21740,1,4943.127029783102,male
4,2019,21740,2,5653.470887529171,female
4,2019,21740,4,8010.981210230921,total_post
5,2019,21740,0,2146.798868788136,total_pre
5,2019,21740,1,3572.2700352799156,male
5,2019,21740,2,2781.6267288431172,female
5,2019,21740,4,2146.798862940059,total_post
1,2019,21740,12,3744.3949145687193,female_male
2,2019,21740,12,16245.047213699381,female_male
3,2019,21740,12,7513.075010683556,female_male
4,2019,21740,12,10825.746370743234,female_male
5,2019,21740,12,6484.986257452631,female_male
1,2021,21720,0,2562.4534171803284,total_pre
1,2021,21720,1,1821.084849211554,male
1,2021,21720,2,1613.47069157534,female
1,2021,21720,4,2562.452655511014,total_post
2,2021,21720,0,8622.786544877048,total_pre
2,2021,21720,1,4487.377935231133,male
2,2021,21720,2,3310.5049633925814,female
2,2021,21720,4,8622.79182119763,total_post
3,2021,21720,0,7868.122671923479,total_pre
3,2021,21720,1,4251.1061396171,male
3,2021,21720,2,6713.652001796006,female
3,2021,21720,4,7868.131133781389,total_post
4,2021,21720,0,3647.7702700230443,total_pre
4,2021,21720,1,2832.015423844438,male
4,2021,21720,2,2116.1464194396867,female
4,2021,21720,4,3647.7735414103945,total_post
5,2021,21720,0,3484.5622817827143,total_pre
5,2021,21720,1,2282.2736688851064,male
5,2021,21720,2,2657.255218345543,female
5,2021,21720,4,3484.564600106321,total_post
1,2021,21720,12,3467.962517186528,female_male
2,2021,21720,12,7292.571949323412,female_male
3,2021,21720,12,10479.976814780193,female_male
4,2021,21720,12,4912.452429079369,female_male
5,2021,21720,12,4910.73832452215,female_male
1,2021,21740,0,1499.5512468853208,total_pre
1,2021,21740,1,1269.4005282695323,male
1,2021,21740,2,1222.5325708101652,female
1,2021,21740,4,1499.5513035269828,total_post
2,2021,21740,0,1986.7559192060698,total_pre
2,2021,21740,1,1303.2434496110548,male
2,2021,21740,2,1734.3824395708154,female
2,2021,21740,4,1986.7558327008026,total_post
3,2021,21740,0,3380.1032285164556,total_pre
3,2021,21740,1,2040.768159890825,male
3,2021,21740,2,2689.2339908681697,female
3,2021,21740,4,3380.103272716327,total_post
4,2021,21740,0,3795.883431545551,total_pre
4,2021,21740,1,3614.4181208421087,male
4,2021,21740,2,3426.9415404735482,female
4,2021,21740,4,3795.883369566264,total_post
5,2021,21740,0,5616.029466498442,total_pre
5,2021,21740,1,4042.3862856501096,male
5,2021,21740,2,3957.5847986893054,female
5,2021,21740,4,5616.028886523723,total_post
1,2021,21740,12,2429.0407095487917,female_male
2,2021,21740,12,2996.4273133709044,female_male
3,2021,21740,12,4774.545425725966,female_male
4,2021,21740,12,7159.346243617318,female_male
5,2021,21740,12,8141.549842500731,female_male
1,2022,21720,0,2381.1417976801354,total_pre
1,2022,21720,1,1463.5357302663992,male
1,2022,21720,2,1787.9209203418038,female
1,2022,21720,4,2381.1412960659413,total_post
2,2022,21720,0,3353.4749856034464,total_pre
2,2022,21720,1,2373.9174508825417,male
2,2022,21720,2,1889.446906591278,female
2,2022,21720,4,3353.4749338136994,total_post
3,2022,21720,0,3914.5763583689522,total_pre
3,2022,21720,1,2117.480960813713,male
3,2022,21720,2,3202.213055403371,female
3,2022,21720,4,3914.5760992103324,total_post
4,2022,21720,0,5558.128163374641,total_pre
4,2022,21720,1,4372.678638317738,male
4,2022,21720,2,2685.666476556234,female
4,2022,21720,4,5558.124828574329,total_post
5,2022,21720,0,1602.2185712473306,total_pre
5,2022,21720,1,1525.9692010184688,male
5,2022,21720,2,1449.713840309831,female
5,2022,21720,4,1602.2182638408447,total_post
1,2022,21720,12,3135.050163726936,female_male
2,2022,21720,12,4263.777047763483,female_male
3,2022,21720,12,5099.14354350543,female_male
4,2022,21720,12,6790.639968732071,female_male
5,2022,21720,12,2973.8590281602205,female_male
1,2022,21740,0,6677.446466665403,total_pre
1,2022,21740,1,3726.1195270435405,male
1,2022,21740,2,3203.584719287823,female
1,2022,21740,4,6677.446627253824,total_post
2,2022,21740,0,1925.6744305927075,total_pre
2,2022,21740,1,1888.0673923615511,male
2,2022,21740,2,1402.0591018199966,female
2,2022,21740,4,1925.6744196360112,total_post
3,2022,21740,0,3174.6189329515446,total_pre
3,2022,21740,1,2536.4338571186886,male
3,2022,21740,2,2334.9182383289153,female
3,2022,21740,4,3174.6188515954896,total_post
4,2022,21740,0,2326.663603025713,total_pre
4,2022,21740,1,1478.8059601154155,male
4,2022,21740,2,2423.186283743266,female
4,2022,21740,4,2326.6635775824493,total_post
5,2022,21740,0,1963.993700297064,total_pre
5,2022,21740,1,2067.395374297488,male
5,2022,21740,2,982.7925082549743,female
5,2022,21740,4,1963.9936933596016,total_post
1,2022,21740,12,7057.9139861022695,female_male
2,2022,21740,12,3312.277327831214,female_male
3,2022,21740,12,4952.220523483252,female_male
4,2022,21740,12,3683.987711028117,female_male
5,2022,21740,12,2780.876676066631,female_male
1,2023,21720,0,2054.415900745568,total_pre
1,2023,21720,1,1520.4365066770806,male
1,2023,21720,2,2177.038950268269,female
1,2023,21720,4,2054.41594227098,total_post
2,2023,21720,0,1955.5300344941234,total_pre
2,2023,21720,1,1276.8124322290034,male
2,2023,21720,2,1179.2253119547624,female
2,2023,21720,4,1955.5299124407884,total_post
3,2023,21720,0,3656.4148248131414,total_pre
3,2023,21720,1,2857.188318982948,male
3,2023,21720,2,1973.4413709850307,female
3,2023,21720,4,3656.4163900492213,total_post
4,2023,21720,0,5736.334121761517,total_pre
4,2023,21720,1,3479.453421336163,male
4,2023,21720,2,2621.8653588851007,female
4,2023,21720,4,5736.335267606168,total_post
5,2023,21720,0,1201.477380505324,total_pre
5,2023,21720,1,882.6836767036631,male
5,2023,21720,2,1026.7602248142762,female
5,2023,21720,4,1201.4774212104692,total_post
1,2023,21720,12,3587.5509722283027,female_male
2,2023,21720,12,2476.298822566276,female_male
3,2023,21720,12,4670.827219905623,female_male
4,2023,21720,12,6027.55590012774,female_male
5,2023,21720,12,1789.3407636591583,female_male
1,2023,21740,0,961.0485187994892,total_pre
1,2023,21740,1,686.455583826769,male
1,2023,21740,2,457.1836098544714,female
1,2023,21740,4,961.0485075901771,total_post
2,2023,21740,0,2402.6664639029154,total_pre
2,2023,21740,1,1274.8161307429875,male
2,2023,21740,2,1503.1898991097871,female
2,2023,21740,4,2402.666497519356,total_post
3,2023,21740,0,2073.055873114449,total_pre
3,2023,21740,1,1284.9966589319465,male
3,2023,21740,2,1572.7917069845741,female
3,2023,21740,4,2073.055749859698,total_post
4,2023,21740,0,3842.5494591639927,total_pre
4,2023,21740,1,3006.6052837433067,male
4,2023,21740,2,1668.1015745344089,female
4,2023,21740,4,3842.5497097468697,total_post
5,2023,21740,0,923.3771449111525,total_pre
5,2023,21740,1,2443.376278596844,male
5,2023,21740,2,1149.9168510444933,female
5,2023,21740,4,923.3771537463424,total_post
1,2023,21740,12,1027.9271263305034,female_male
2,2023,21740,12,2737.37486586741,female_male
3,2023,21740,12,2892.135872075884,female_male
4,2023,21740,12,4282.099806481416,female_male
5,2023,21740,12,3051.6644836980186,female_male
1,2024,21720,0,3415.9240042147167,total_pre
1,2024,21720,1,1555.8518959324156,male
1,2024,21720,2,2161.5759901204424,female
1,2024,21720,4,3415.921068963934,total_post
2,2024,21720,0,3269.695781395262,total_pre
2,2024,21720,1,2123.5100576568752,male
2,2024,21720,2,1524.64737151316,female
2,2024,21720,4,3269.693548849144,total_post
3,2024,21720,0,5377.263280260762,total_pre
3,2024,21720,1,2812.5865635168752,male
3,2024,21720,2,2628.514280837398,female
3,2024,21720,4,5377.266718629961,total_post
4,2024,21720,0,3421.1751033130813,total_pre
4,2024,21720,1,2132.5798541248273,male
4,2024,21720,2,2915.5776723826875,female
4,2024,21720,4,3421.1720785153198,total_post
5,2024,21720,0,1610.7894705655863,total_pre
5,2024,21720,1,1000.6449966981979,male
5,2024,21720,2,1383.5222709523362,female
5,2024,21720,4,1610.7898284171154,total_post
1,2024,21720,12,3599.686120513193,female_male
2,2024,21720,12,3604.463749273818,female_male
3,2024,21720,12,5497.695135586719,female_male
4,2024,21720,12,4590.766543073633,female_male
5,2024,21720,12,2315.913580553235,female_male
1,2024,21740,0,860.6412663984269,total_pre
1,2024,21740,1,710.6039149678414,male
1,2024,21740,2,605.7472349476259,female
1,2024,21740,4,860.6412924609489,total_post
2,2024,21740,0,6211.217248452886,total_pre
2,2024,21740,1,3220.058018080002,male
2,2024,21740,2,5867.025514956298,female
2,2024,21740,4,6211.217498519564,total_post
3,2024,21740,0,3448.8747455488588,total_pre
3,2024,21740,1,1397.2389668265487,male
3,2024,21740,2,1913.4074194082355,female
3,2024,21740,4,3448.8747713069124,total_post
4,2024,21740,0,356.5657093756276,total_pre
4,2024,21740,1,274.53374857929606,male
4,2024,21740,2,271.39126390179405,female
4,2024,21740,4,356.5657029269026,total_post
5,2024,21740,0,815.1160111634126,total_pre
5,2024,21740,1,610.8047655879542,male
5,2024,21740,2,474.7703285280644,female
5,2024,21740,4,815.1160181995244,total_post
1,2024,21740,12,1362.1551800203808,female_male
2,2024,21740,12,6123.768558390239,female_male
3,2024,21740,12,2816.9273740418216,female_male
4,2024,21740,12,516.5962862973082,female_male
5,2024,21740,12,1077.5292375520562,female_male
