year,species_code,length,sex,abund
2014,21720,54,0,13151860
2014,21720,54,1,6608460
2014,21720,54,2,6543402
2014,21720,55,0,11700795
2014,21720,55,1,5051353
2014,21720,55,2,6649442
2014,21720,56,0,10565396
2014,21720,56,1,4094590
2014,21720,56,2,6451116
2014,21720,56,3,19689
2014,21720,57,0,12397697
2014,21720,57,1,7667785
2014,21720,57,2,4729911
2014,21720,58,0,15875724
2014,21720,58,1,7936676
2014,21720,58,2,7919356
2014,21720,58,3,19689
2014,21720,59,0,15850813
2014,21720,59,1,6401415
2014,21720,59,2,9410017
2014,21720,59,3,39379
2014,21720,60,0,12658045
2014,21720,60,1,6359331
2014,21720,60,2,6298713
2014,21720,61,0,12213157
2014,21720,61,1,6225512
2014,21720,61,2,5987646
2014,21720,62,0,12926651
2014,21720,62,1,5862760
2014,21720,62,2,7063889
2014,21720,63,0,8612473
2014,21720,63,1,4124864
2014,21720,63,2,4487610
2014,21720,64,0,8891421
2014,21720,64,1,4893385
2014,21720,64,2,3998041
2014,21720,65,0,6927125
2014,21720,65,1,2938260
2014,21720,65,2,3988862
2014,21720,66,0,6776493
2014,21720,66,1,3055383
2014,21720,66,2,3721110
2014,21720,67,0,3927251
2014,21720,67,1,1932292
2014,21720,67,2,1994961
2014,21720,68,0,3973720
2014,21720,68,1,2140393
2014,21720,68,2,1833328
2014,21720,69,0,3367423
2014,21720,69,1,1344589
2014,21720,69,2,2022834
2014,21720,70,0,4249828
2014,21720,70,1,2613408
2014,21720,70,2,1636420
2014,21720,71,0,3604782
2014,21720,71,1,2064709
2014,21720,71,2,1540070
2014,21720,72,0,3372024
2014,21720,72,1,1643255
2014,21720,72,2,1709080
2014,21720,72,3,19689
2014,21720,73,0,4156789
2014,21720,73,1,1872489
2014,21720,73,2,2284300
2014,21720,74,0,3121340
2014,21720,74,1,1413350
2014,21720,74,2,1688302
2014,21720,74,3,19689
2014,21720,75,0,2751629
2014,21720,75,1,1209423
2014,21720,75,2,1522518
2014,21720,75,3,19689
2014,21720,76,0,2565328
2014,21720,76,1,825103
2014,21720,76,2,1740223
2014,21720,77,0,1880911
2014,21720,77,1,755395
2014,21720,77,2,1125514
2014,21720,78,0,1795254
2014,21720,78,1,536982
2014,21720,78,2,1258273
2014,21720,79,0,1253739
2014,21720,79,1,304471
2014,21720,79,2,949267
2014,21720,80,0,1046243
2014,21720,80,1,402386
2014,21720,80,2,643857
2014,21720,81,0,1044205
2014,21720,81,1,391025
2014,21720,81,2,653181
2014,21720,82,0,526461
2014,21720,82,1,71654
2014,21720,82,2,435117
2014,21720,82,3,19689
2014,21720,83,0,519114
2014,21720,83,1,237460
2014,21720,83,2,281654
2014,21720,84,0,514574
2014,21720,84,1,84823
2014,21720,84,2,429750
2014,21720,85,0,230985
2014,21720,85,1,64588
2014,21720,85,2,166397
2014,21720,86,0,289100
2014,21720,86,1,128533
2014,21720,86,2,160567
2014,21720,87,0,362451
2014,21720,87,1,58601
2014,21720,87,2,303851
2014,21720,88,0,214360
2014,21720,88,1,58517
2014,21720,88,2,155843
2014,21720,89,0,93014
2014,21720,89,1,35761
2014,21720,89,2,57253
2014,21720,90,0,408920
2014,21720,90,1,221430
2014,21720,90,2,187489
2014,21720,91,0,139178
2014,21720,91,1,80757
2014,21720,91,2,58421
2014,21720,92,0,177860
2014,21720,92,1,29875
2014,21720,92,2,147984
2014,21720,93,0,131599
2014,21720,93,1,115080
2014,21720,93,2,16519
2014,21720,94,0,30276
2014,21720,94,2,30276
2014,21720,96,0,180830
2014,21720,96,1,115992
2014,21720,96,2,64838
2014,21720,97,0,54837
2014,21720,97,2,54837
2014,21720,98,0,133959
2014,21720,98,2,133959
2014,21720,100,0,96514
2014,21720,100,2,96514
2014,21720,103,0,98806
2014,21720,103,2,98806
2014,21720,107,0,29594
2014,21720,107,2,29594
2014,21740,8,0,551928
2014,21740,8,1,19430
2014,21740,8,2,70403
2014,21740,8,3,462095
2014,21740,9,0,12906875
2014,21740,9,3,12906875
2014,21740,10,0,46207796
2014,21740,10,3,46207796
2014,21740,11,0,119967992
2014,21740,11,3,119967992
2014,21740,12,0,232113937
2014,21740,12,1,749163
2014,21740,12,2,130198
2014,21740,12,3,231234576
2014,21740,13,0,347149724
2014,21740,13,1,1607460
2014,21740,13,2,1965251
2014,21740,13,3,343577013
2014,21740,14,0,357357580
2014,21740,14,1,6010381
2014,21740,14,2,3917615
2014,21740,14,3,347429584
2014,21740,15,0,342922193
2014,21740,15,1,6542890
2014,21740,15,2,7263825
2014,21740,15,3,329115474
2014,21740,16,0,141301155
2014,21740,16,1,7734684
2014,21740,16,2,9526565
2014,21740,16,3,124039908
2014,21740,17,0,67744817
2014,21740,17,1,10197405
2014,21740,17,2,12464086
2014,21740,17,3,45083328
2014,21740,18,0,28506283
2014,21740,18,1,10467974
2014,21740,18,2,4557808
2014,21740,18,3,13480503
2014,21740,19,0,9606789
2014,21740,19,1,3066914
2014,21740,19,2,3285595
2014,21740,19,3,3254281
2014,21740,20,0,9956787
2014,21740,20,1,4684802
2014,21740,20,2,3645526
2014,21740,20,3,1626458
2014,21740,21,0,19307261
2014,21740,21,1,10160455
2014,21740,21,2,8533349
2014,21740,21,3,613455
2014,21740,22,0,27692999
2014,21740,22,1,18509939
2014,21740,22,2,8855591
2014,21740,22,3,327469
2014,21740,23,0,50988644
2014,21740,23,1,30590089
2014,21740,23,2,20278854
2014,21740,23,3,119702
2014,21740,24,0,53865063
2014,21740,24,1,28598029
2014,21740,24,2,25267033
2014,21740,25,0,77787106
2014,21740,25,1,42164948
2014,21740,25,2,35487814
2014,21740,25,3,134344
2014,21740,26,0,63965681
2014,21740,26,1,36670091
2014,21740,26,2,26650493
2014,21740,26,3,645097
2014,21740,27,0,72504609
2014,21740,27,1,33483447
2014,21740,27,2,39021161
2014,21740,28,0,45540143
2014,21740,28,1,23170221
2014,21740,28,2,22369920
2014,21740,29,0,54938171
2014,21740,29,1,25447025
2014,21740,29,2,29491146
2014,21740,30,0,28216931
2014,21740,30,1,17618344
2014,21740,30,2,10598587
2014,21740,31,0,21602006
2014,21740,31,1,9711708
2014,21740,31,2,11890296
2014,21740,32,0,17217503
2014,21740,32,1,11087661
2014,21740,32,2,6129843
2014,21740,33,0,13564731
2014,21740,33,1,5296985
2014,21740,33,2,8267744
2014,21740,34,0,21369465
2014,21740,34,1,12742184
2014,21740,34,2,8627282
2014,21740,35,0,44002066
2014,21740,35,1,23205341
2014,21740,35,2,20796729
2014,21740,36,0,47562448
2014,21740,36,1,27709994
2014,21740,36,2,19852456
2014,21740,37,0,86939669
2014,21740,37,1,41255755
2014,21740,37,2,45683914
2014,21740,38,0,102219966
2014,21740,38,1,60192546
2014,21740,38,2,42027422
2014,21740,39,0,203346637
2014,21740,39,1,119477252
2014,21740,39,2,83869385
2014,21740,40,0,203894093
2014,21740,40,1,114602248
2014,21740,40,2,89291847
2014,21740,41,0,369331626
2014,21740,41,1,226899315
2014,21740,41,2,142432311
2014,21740,42,0,441662830
2014,21740,42,1,270898710
2014,21740,42,2,170764122
2014,21740,43,0,779356228
2014,21740,43,1,469872077
2014,21740,43,2,309484153
2014,21740,44,0,848378467
2014,21740,44,1,486501560
2014,21740,44,2,361876908
2014,21740,45,0,1110948118
2014,21740,45,1,598639017
2014,21740,45,2,512309100
2014,21740,46,0,983792980
2014,21740,46,1,503537344
2014,21740,46,2,480255633
2014,21740,47,0,953161538
2014,21740,47,1,450616798
2014,21740,47,2,502544742
2014,21740,48,0,671966741
2014,21740,48,1,311923097
2014,21740,48,2,360043643
2014,21740,49,0,560053910
2014,21740,49,1,237026539
2014,21740,49,2,323027371
2014,21740,50,0,414985963
2014,21740,50,1,186631696
2014,21740,50,2,228354269
2014,21740,51,0,351335516
2014,21740,51,1,134578018
2014,21740,51,2,216757499
2014,21740,52,0,266064018
2014,21740,52,1,113756532
2014,21740,52,2,152307486
2014,21740,53,0,183518067
2014,21740,53,1,74848481
2014,21740,53,2,108669585
2014,21740,54,0,167048759
2014,21740,54,1,79342038
2014,21740,54,2,87706723
2014,21740,55,0,130428666
2014,21740,55,1,53421980
2014,21740,55,2,77006686
2014,21740,56,0,102660826
2014,21740,56,1,47389407
2014,21740,56,2,55271417
2014,21740,57,0,92659137
2014,21740,57,1,39590542
2014,21740,57,2,53068593
2014,21740,58,0,85820219
2014,21740,58,1,45777248
2014,21740,58,2,40042974
2014,21740,59,0,68064413
2014,21740,59,1,26354363
2014,21740,59,2,41710049
2014,21740,60,0,55109948
2014,21740,60,1,20678646
2014,21740,60,2,34431304
2014,21740,61,0,37751875
2014,21740,61,1,16390409
2014,21740,61,2,21361465
2014,21740,62,0,35830590
2014,21740,62,1,15490366
2014,21740,62,2,20340224
